Point,Setup,Name,Sight,Staff(m),Distance(m),HI(m),RL(m),Status
1,1,18R-1,BS1,+2.5416,40.211,22.5419,20.0000,OK
2,1,TP01,FS1,+0.8398,40.012,22.5419,21.7020,OK
3,1,TP01,FS2,+0.8399,40.021,22.5419,21.7020,OK
4,1,18R-1,BS2,+2.5421,40.150,22.5419,20.0000,OK
5,2,TP01,BS1,+0.7279,59.274,22.4298,21.7020,OK
6,2,TP02,FS1,+0.9374,59.126,22.4298,21.4923,OK
7,2,TP02,FS2,+0.9375,59.161,22.4298,21.4923,OK
8,2,TP01,BS2,+0.7277,59.310,22.4298,21.7020,OK
9,3,TP02,BS1,+2.0228,56.013,23.5151,21.4923,OK
10,3,TP03,FS1,+0.9970,56.234,23.5151,22.5182,OK
11,3,TP03,FS2,+0.9967,56.228,23.5151,22.5182,OK
12,3,TP02,BS2,+2.0227,55.990,23.5151,21.4923,OK
13,4,TP03,BS1,+1.0313,58.997,23.5492,22.5182,OK
14,4,TP04,FS1,+2.3497,59.135,23.5492,21.1997,OK
15,4,TP04,FS2,+2.3491,59.217,23.5492,21.1997,OK
16,4,TP03,BS2,+1.0306,58.928,23.5492,22.5182,OK
17,5,TP04,BS1,+0.7456,52.287,21.9453,21.1997,OK
18,5,TP05,FS1,+2.3277,52.030,21.9453,19.6176,OK
19,5,TP05,FS2,+2.3277,51.932,21.9453,19.6176,OK
20,5,TP04,BS2,+0.7456,52.206,21.9453,21.1997,OK
21,6,TP05,BS1,+0.6558,59.014,20.2732,19.6176,OK
22,6,TP06,FS1,+2.2039,59.292,20.2732,18.0696,OK
23,6,TP06,FS2,+2.2032,59.341,20.2732,18.0696,OK
24,6,TP05,BS2,+0.6553,59.061,20.2732,19.6176,OK
25,7,TP06,BS1,+1.2763,56.509,19.3466,18.0696,OK
26,7,TP07,FS1,+1.6394,56.434,19.3466,17.7070,OK
27,7,TP07,FS2,+1.6399,56.565,19.3466,17.7070,OK
28,7,TP06,BS2,+1.2776,56.502,19.3466,18.0696,OK
29,8,TP07,BS1,+1.2646,46.853,18.9716,17.7070,OK
30,8,TP08,FS1,+1.5872,46.476,18.9716,17.3843,OK
31,8,TP08,FS2,+1.5874,46.603,18.9716,17.3843,OK
32,8,TP07,BS2,+1.2647,46.859,18.9716,17.7070,OK
33,9,TP08,BS1,+1.2149,53.571,18.5993,17.3843,OK
34,9,TP09,FS1,+1.5725,53.870,18.5993,17.0269,OK
35,9,TP09,FS2,+1.5723,53.753,18.5993,17.0269,OK
36,9,TP08,BS2,+1.2150,53.503,18.5993,17.3843,OK
37,10,TP09,BS1,+1.4234,48.007,18.4507,17.0269,OK
38,10,ITD06,FS1,+1.5159,51.438,18.4507,16.9346,OK
39,10,ITD06,FS2,+1.5164,51.466,18.4507,16.9346,OK
40,10,TP09,BS2,+1.4243,47.989,18.4507,17.0269,OK
41,11,ITD06,BS1,+1.6096,59.506,18.5439,16.9346,OK
42,11,TP10,FS1,+1.0855,54.916,18.5439,17.4584,OK
43,11,TP10,FS2,+1.0855,54.976,18.5439,17.4584,OK
44,11,ITD06,BS2,+1.6092,59.667,18.5439,16.9346,OK
45,12,TP10,BS1,+1.6773,58.326,19.1358,17.4584,OK
46,12,TP11,FS1,+1.6653,57.859,19.1358,17.4706,OK
47,12,TP11,FS2,+1.6651,57.874,19.1358,17.4706,OK
48,12,TP10,BS2,+1.6774,58.286,19.1358,17.4584,OK
49,13,TP11,BS1,+1.0559,37.613,18.5265,17.4706,OK
50,13,ITD05,FS1,+1.9434,38.372,18.5265,16.5831,OK
51,13,ITD05,FS2,+1.9433,38.337,18.5265,16.5831,OK
52,13,TP11,BS2,+1.0557,37.623,18.5265,17.4706,OK
53,14,ITD05,BS1,+1.3850,59.970,17.9680,16.5831,OK
54,14,TP12,FS1,+1.7034,59.642,17.9680,16.2647,OK
55,14,TP12,FS2,+1.7034,59.683,17.9680,16.2647,OK
56,14,ITD05,BS2,+1.3848,60.043,17.9680,16.5831,OK
57,15,TP12,BS1,+1.5890,55.784,17.8533,16.2647,OK
58,15,TP13,FS1,+1.3501,56.802,17.8533,16.5031,OK
59,15,TP13,FS2,+1.3503,56.803,17.8533,16.5031,OK
60,15,TP12,BS2,+1.5883,55.812,17.8533,16.2647,OK
61,16,TP13,BS1,+1.2831,55.505,17.7863,16.5031,OK
62,16,TP14,FS1,+1.7391,55.400,17.7863,16.0473,OK
63,16,TP14,FS2,+1.7389,55.383,17.7863,16.0473,OK
64,16,TP13,BS2,+1.2833,55.494,17.7863,16.5031,OK
65,17,TP14,BS1,+1.5470,53.042,17.5943,16.0473,OK
66,17,TP15,FS1,+1.6801,54.085,17.5943,15.9141,OK
67,17,TP15,FS2,+1.6802,54.083,17.5943,15.9141,OK
68,17,TP14,BS2,+1.5470,52.874,17.5943,16.0473,OK
69,18,TP15,BS1,+1.2455,57.629,17.1596,15.9141,OK
70,18,TP16,FS1,+2.3555,57.978,17.1596,14.8040,OK
71,18,TP16,FS2,+2.3557,57.966,17.1596,14.8040,OK
72,18,TP15,BS2,+1.2454,57.679,17.1596,15.9141,OK
73,19,TP16,BS1,+1.1594,59.384,15.9633,14.8040,OK
74,19,TP17,FS1,+1.8013,59.397,15.9633,14.1620,OK
75,19,TP17,FS2,+1.8013,59.399,15.9633,14.1620,OK
76,19,TP16,BS2,+1.1592,59.428,15.9633,14.8040,OK
77,20,TP17,BS1,+1.3735,57.654,15.5355,14.1620,OK
78,20,TP18,FS1,+1.3801,56.596,15.5355,14.1556,OK
79,20,TP18,FS2,+1.3798,56.593,15.5355,14.1556,OK
80,20,TP17,BS2,+1.3736,57.629,15.5355,14.1620,OK
81,21,TP18,BS1,+1.1603,57.782,15.3157,14.1556,OK
82,21,TP19,FS1,+0.8519,57.680,15.3157,14.4637,OK
83,21,TP19,FS2,+0.8519,57.671,15.3157,14.4637,OK
84,21,TP18,BS2,+1.1599,57.781,15.3157,14.1556,OK
85,22,TP19,BS1,+0.4270,59.216,14.8908,14.4637,OK
86,22,TP20,FS1,+1.3185,59.262,14.8908,13.5724,OK
87,22,TP20,FS2,+1.3183,59.257,14.8908,13.5724,OK
88,22,TP19,BS2,+0.4271,59.188,14.8908,14.4637,OK
89,23,TP20,BS1,+1.1979,43.949,14.7699,13.5724,OK
90,23,ITD4-1,FS1,+2.5799,43.823,14.7699,12.1901,OK
91,23,ITD4-1,FS2,+2.5797,43.864,14.7699,12.1901,OK
92,23,TP20,BS2,+1.1972,43.966,14.7699,13.5724,OK
93,24,ITD4-1,BS1,+1.4622,59.240,13.6523,12.1901,OK
94,24,TP21,FS1,+1.1993,59.503,13.6523,12.4533,OK
95,24,TP21,FS2,+1.1987,59.654,13.6523,12.4533,OK
96,24,ITD4-1,BS2,+1.4621,59.286,13.6523,12.1901,OK
97,25,TP21,BS1,+1.7782,55.581,14.2318,12.4533,OK
98,25,TP22,FS1,+1.0930,55.666,14.2318,13.1390,OK
99,25,TP22,FS2,+1.0928,55.624,14.2318,13.1390,OK
100,25,TP21,BS2,+1.7789,55.602,14.2318,12.4533,OK
101,26,TP22,BS1,+1.5232,59.804,14.6622,13.1390,OK
102,26,TP23,FS1,+1.5169,59.114,14.6622,13.1454,OK
103,26,TP23,FS2,+1.5167,59.111,14.6622,13.1454,OK
104,26,TP22,BS2,+1.5233,59.787,14.6622,13.1390,OK
105,27,TP23,BS1,+1.0973,59.716,14.2426,13.1454,OK
106,27,TP24,FS1,+1.8812,59.966,14.2426,12.3615,OK
107,27,TP24,FS2,+1.8811,59.897,14.2426,12.3615,OK
108,27,TP23,BS2,+1.0972,59.750,14.2426,13.1454,OK
109,28,TP24,BS1,+2.3685,42.630,14.7298,12.3615,OK
110,28,TP25,FS1,+0.3794,42.551,14.7298,14.3502,OK
111,28,TP25,FS2,+0.3799,42.547,14.7298,14.3502,OK
112,28,TP24,BS2,+2.3683,42.642,14.7298,12.3615,OK
113,29,TP25,BS1,+1.7756,57.425,16.1254,14.3502,OK
